title,location,Status,size,price,pricepersqfeet
3 BHK Apartment in Shree GNR Vasavi Nirvana,"Attapur, Hyderabad",Under Construction,2840 , 1.95 0000000 ,"6,899 / sq ft"
3 BHK Apartment in Shree GNR Vasavi Nirvana,"Attapur, Hyderabad",Under Construction,2710 , 1.86 0000000 ,"6,899 / sq ft"
3 BHK Apartment in Shree GNR Vasavi Nirvana,"Attapur, Hyderabad",Under Construction,2180 , 1.5 0000000 ,"6,899 / sq ft"
3 BHK Apartment in Shree GNR Vasavi Nirvana,"Attapur, Hyderabad",Under Construction,1750 , 1.2 0000000 ,"6,899 / sq ft"
3 BHK Apartment in Shree GNR Vasavi Nirvana,"Attapur, Hyderabad",Under Construction,2260 , 1.55 0000000 ,"6,899 / sq ft"
3 BHK Apartment in Shree GNR Vasavi Nirvana,"Attapur, Hyderabad",Under Construction,2135 , 1.47 0000000 ,"6,899 / sq ft"
3 BHK Apartment in Shree GNR Vasavi Nirvana,"Attapur, Hyderabad",Under Construction,1395 , 96.24 00000 ,"6,899 / sq ft"
2 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad",Ready to move,1140 , 58 00000 ,"5,087 / sq ft"
3 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad",Ready to move,1510 , 62 00000 ,"4,105 / sq ft"
2 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad",Ready to move,1185 , 52 00000 ,"4,388 / sq ft"
2 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad",Ready to move,1185 , 51.5 00000 ,"4,345 / sq ft"
2 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad",Ready to move,1185 , 52 00000 ,"4,388 / sq ft"
3 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad",Ready to move,1510 , 62 00000 ,"4,105 / sq ft"
3 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad",Ready to move,1510 , 62 00000 ,"4,105 / sq ft"
3 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad",Ready to move,1510 , 62 00000 ,"4,105 / sq ft"
3 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad",Ready to move,1510 , 62 00000 ,"4,105 / sq ft"
2 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad",Ready to move,1130 , 61 00000 ,"5,398 / sq ft"
3 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad",Ready to move,1440 , 70 00000 ,"4,861 / sq ft"
2 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad",Ready to move,1115 , 60 00000 ,"5,381 / sq ft"
3 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad",Ready to move,1440 , 70 00000 ,"4,861 / sq ft"
3 BHK Apartment in Vajra The Royal Park,"Bowrampet, Hyderabad",Under Construction,1675 , 70.35 00000 ,"4,200 / sq ft"
2 BHK Apartment,"Mallampet, Hyderabad",Ready to move,1150 , 44 00000 ,"3,826 / sq ft"
3 BHK Apartment in Hallmark Pinnacle,"Patighanpur, Hyderabad",Under Construction,1885 , 1.05 0000000 ,"5,601 / sq ft"
2 BHK Apartment in Hallmark Pinnacle,"Patighanpur, Hyderabad",Under Construction,1285 , 71.94 00000 ,"5,599 / sq ft"
3 BHK Apartment in Hallmark Pinnacle,"Patighanpur, Hyderabad",Under Construction,1585 , 88.74 00000 ,"5,599 / sq ft"
3 BHK Apartment in Hallmark Pinnacle,"Patighanpur, Hyderabad",Under Construction,1700 , 95.18 00000 ,"5,599 / sq ft"
3 BHK Apartment in Hallmark Pinnacle,"Patighanpur, Hyderabad",Under Construction,1885 , 1.05 0000000 ,"5,601 / sq ft"
2 BHK Apartment in Hallmark Pinnacle,"Patighanpur, Hyderabad",Under Construction,1285 , 71.94 00000 ,"5,599 / sq ft"
3 BHK Apartment in Hallmark Pinnacle,"Patighanpur, Hyderabad",Under Construction,1585 , 88.74 00000 ,"5,599 / sq ft"
3 BHK Apartment in Hallmark Pinnacle,"Patighanpur, Hyderabad",Under Construction,1700 , 95.18 00000 ,"5,599 / sq ft"
3 BHK Apartment in Vaishnavi Houdini,"Bandlaguda Jagir, Hyderabad",Under Construction,1909 , 1.06 0000000 ,"5,600 / sq ft"
2 BHK Apartment in Vaishnavi Houdini,"Bandlaguda Jagir, Hyderabad",Under Construction,1193 , 66.8 00000 ,"5,600 / sq ft"
2 BHK Apartment in Vaishnavi Houdini,"Bandlaguda Jagir, Hyderabad",Under Construction,1269 , 71.06 00000 ,"5,600 / sq ft"
3 BHK Apartment in Vaishnavi Houdini,"Bandlaguda Jagir, Hyderabad",Under Construction,1963 , 1.09 0000000 ,"5,600 / sq ft"
3 BHK Apartment in Vaishnavi Houdini,"Bandlaguda Jagir, Hyderabad",Under Construction,2028 , 1.13 0000000 ,"5,600 / sq ft"
4 BHK Apartment in Hallmark Treasor,"Gandipet, Hyderabad",Under Construction,5080 , 4.06 0000000 ,"7,999 / sq ft"
3 BHK Apartment in Hallmark Treasor,"Gandipet, Hyderabad",Under Construction,2040 , 1.63 0000000 ,"7,999 / sq ft"
4 BHK Apartment in Hallmark Treasor,"Gandipet, Hyderabad",Under Construction,4080 , 3.26 0000000 ,"7,999 / sq ft"
3 BHK Apartment in Hallmark Treasor,"Gandipet, Hyderabad",Under Construction,2400 , 1.91 0000000 ,"7,999 / sq ft"
4 BHK Apartment in Hallmark Treasor,"Gandipet, Hyderabad",Under Construction,3342 , 2.67 0000000 ,"7,999 / sq ft"
3 BHK Apartment in Hallmark Treasor,"Gandipet, Hyderabad",Under Construction,2540 , 2.03 0000000 ,"7,999 / sq ft"
3 BHK Apartment in Hallmark Treasor,"Gandipet, Hyderabad",Under Construction,1765 , 1.41 0000000 ,"7,999 / sq ft"
3 BHK Apartment in Hallmark Treasor,"Gandipet, Hyderabad",Under Construction,1895 , 1.51 0000000 ,"7,999 / sq ft"
2 BHK Apartment,"Bachupally, Hyderabad",Ready to move,1150 , 45 00000 ,"3,913 / sq ft"
2 BHK Apartment,"Mallampet, Hyderabad",Ready to move,1000 , 44 00000 ,"4,400 / sq ft"
3 BHK Apartment in Sumadhura Gardens By The Brook,"Shamshabad, Hyderabad",Under Construction,1625 , 84.5 00000 ,"5,200 / sq ft"
2 BHK Apartment in Sumadhura Gardens By The Brook,"Shamshabad, Hyderabad",Under Construction,1440 , 74.88 00000 ,"5,200 / sq ft"
3 BHK Apartment in Riddhi Pramukh Elegance,"Jeedimetla, Hyderabad",Under Construction,1910 , 1.1 0000000 ,"5,800 / sq ft"
3 BHK Apartment in Riddhi Pramukh Elegance,"Jeedimetla, Hyderabad",Under Construction,2040 , 1.18 0000000 ,"5,800 / sq ft"
4 BHK Apartment in Riddhi Pramukh Elegance,"Jeedimetla, Hyderabad",Under Construction,2910 , 1.68 0000000 ,"5,800 / sq ft"
3 BHK Apartment in Riddhi Pramukh Elegance,"Jeedimetla, Hyderabad",Under Construction,1980 , 1.14 0000000 ,"5,800 / sq ft"
3 BHK Apartment in Riddhi Pramukh Elegance,"Jeedimetla, Hyderabad",Under Construction,2030 , 1.17 0000000 ,"5,800 / sq ft"
2 BHK Apartment in Riddhi Pramukh Elegance,"Jeedimetla, Hyderabad",Under Construction,1100 , 63.8 00000 ,"5,800 / sq ft"
3 BHK Apartment in Riddhi Pramukh Elegance,"Jeedimetla, Hyderabad",Under Construction,1830 , 1.06 0000000 ,"5,800 / sq ft"
2 BHK Apartment in Riddhi Pramukh Elegance,"Jeedimetla, Hyderabad",Under Construction,1230 , 71.34 00000 ,"5,800 / sq ft"
3 BHK Apartment in Riddhi Pramukh Elegance,"Jeedimetla, Hyderabad",Under Construction,1605 , 93.09 00000 ,"5,800 / sq ft"
3 BHK Apartment in Riddhi Pramukh Elegance,"Jeedimetla, Hyderabad",Under Construction,2080 , 1.2 0000000 ,"5,800 / sq ft"
3 BHK Apartment in Riddhi Pramukh Elegance,"Jeedimetla, Hyderabad",Under Construction,2495 , 1.44 0000000 ,"5,800 / sq ft"
2 BHK Apartment in Riddhi Pramukh Elegance,"Jeedimetla, Hyderabad",Under Construction,1195 , 69.31 00000 ,"5,800 / sq ft"
4 BHK Apartment in Riddhi Pramukh Elegance,"Jeedimetla, Hyderabad",Under Construction,3030 , 1.75 0000000 ,"5,800 / sq ft"
3 BHK Apartment in Riddhi Pramukh Elegance,"Jeedimetla, Hyderabad",Under Construction,1915 , 1.11 0000000 ,"5,800 / sq ft"
3 BHK Apartment in Riddhi Pramukh Elegance,"Jeedimetla, Hyderabad",Under Construction,2590 , 1.5 0000000 ,"5,800 / sq ft"
4 BHK Apartment in Riddhi Pramukh Elegance,"Jeedimetla, Hyderabad",Under Construction,3150 , 1.82 0000000 ,"5,800 / sq ft"
3 BHK Apartment in Riddhi Pramukh Elegance,"Jeedimetla, Hyderabad",Under Construction,2200 , 1.27 0000000 ,"5,800 / sq ft"
2 BHK Apartment in Riddhi Pramukh Elegance,"Jeedimetla, Hyderabad",Under Construction,1135 , 65.83 00000 ,"5,800 / sq ft"
3 BHK Apartment in Riddhi Pramukh Elegance,"Jeedimetla, Hyderabad",Under Construction,1865 , 1.08 0000000 ,"5,800 / sq ft"
Residential Plot in Vasavi Green Leaf,"Shamirpet, Hyderabad",New,2700 , 70.49 00000 ,"2,611 / sq ft"
2 BHK Apartment in Riddhi Golden Nest,"Puppalaguda, Hyderabad",Ready to move,1285 , 80.95 00000 ,"6,300 / sq ft"
3 BHK Apartment in Riddhi Golden Nest,"Puppalaguda, Hyderabad",Ready to move,1700 , 1.07 0000000 ,"6,300 / sq ft"
2 BHK Apartment in Riddhi Golden Nest,"Puppalaguda, Hyderabad",Ready to move,1298 , 81.77 00000 ,"6,300 / sq ft"
3 BHK Apartment in Riddhi Golden Nest,"Puppalaguda, Hyderabad",Ready to move,1665 , 1.04 0000000 ,"6,300 / sq ft"
3 BHK Apartment in Theme Imperial,"Attapur, Hyderabad",Under Construction,1845 , 1.25 0000000 ,"6,800 / sq ft"
3 BHK Apartment in Theme Imperial,"Attapur, Hyderabad",Under Construction,2250 , 1.53 0000000 ,"6,800 / sq ft"
3 BHK Apartment in Theme Imperial,"Attapur, Hyderabad",Under Construction,2075 , 1.41 0000000 ,"6,800 / sq ft"
3 BHK Apartment,"Nizampet, Hyderabad",Ready to move,1600 , 59 00000 ,"3,687 / sq ft"
3 BHK Apartment in Signature Altius,"Kollur, Hyderabad",Under Construction,1875 , 93.73 00000 ,"4,999 / sq ft"
2 BHK Apartment in Signature Altius,"Kollur, Hyderabad",Under Construction,1550 , 77.48 00000 ,"4,999 / sq ft"
3 BHK Apartment in Signature Altius,"Kollur, Hyderabad",Under Construction,1820 , 90.98 00000 ,"4,999 / sq ft"
2 BHK Apartment in Signature Altius,"Kollur, Hyderabad",Under Construction,1420 , 70.98 00000 ,"4,999 / sq ft"
3 BHK Apartment in Signature Altius,"Kollur, Hyderabad",Under Construction,2200 , 1.09 0000000 ,"4,999 / sq ft"
2 BHK Apartment in Signature Altius,"Kollur, Hyderabad",Under Construction,1400 , 69.98 00000 ,"4,999 / sq ft"
2 BHK Apartment in Signature Altius,"Kollur, Hyderabad",Under Construction,1635 , 81.73 00000 ,"4,999 / sq ft"
3 BHK Apartment in Candeur Crescent,"Serilingampally, Hyderabad",Under Construction,1958 , 1.52 0000000 ,"7,763 / sq ft"
3 BHK Apartment in Risinia Skyon,"Bachupally, Hyderabad",Under Construction,1843 , 1.03 0000000 ,"5,599 / sq ft"
2 BHK Apartment in Risinia Skyon,"Bachupally, Hyderabad",Under Construction,1261 , 70.6 00000 ,"5,599 / sq ft"
3 BHK Apartment in Risinia Skyon,"Bachupally, Hyderabad",Under Construction,1651 , 92.43 00000 ,"5,599 / sq ft"
3 BHK Apartment in Risinia Skyon,"Bachupally, Hyderabad",Under Construction,2126 , 1.19 0000000 ,"5,599 / sq ft"
2 BHK Apartment in Risinia Skyon,"Bachupally, Hyderabad",Under Construction,1388 , 77.71 00000 ,"5,599 / sq ft"
3 BHK Apartment in Risinia Skyon,"Bachupally, Hyderabad",Under Construction,1527 , 85.49 00000 ,"5,599 / sq ft"
3 BHK Apartment in Risinia Skyon,"Bachupally, Hyderabad",Under Construction,1928 , 1.07 0000000 ,"5,599 / sq ft"
3 BHK Apartment in Vasavi Nandanam,"Jeedimetla, Hyderabad",Under Construction,1965 , 1.08 0000000 ,"5,500 / sq ft"
3 BHK Apartment in Vasavi Nandanam,"Jeedimetla, Hyderabad",Under Construction,1900 , 1.04 0000000 ,"5,500 / sq ft"
3 BHK Apartment in Vasavi Nandanam,"Jeedimetla, Hyderabad",Under Construction,1675 , 92.12 00000 ,"5,500 / sq ft"
3 BHK Apartment in Vasavi Nandanam,"Jeedimetla, Hyderabad",Under Construction,2010 , 1.1 0000000 ,"5,500 / sq ft"
3 BHK Apartment in Vasavi Nandanam,"Jeedimetla, Hyderabad",Under Construction,1780 , 97.9 00000 ,"5,500 / sq ft"
3 BHK Apartment in Vasavi Nandanam,"Jeedimetla, Hyderabad",Under Construction,1990 , 1.09 0000000 ,"5,500 / sq ft"
3 BHK Apartment in Vasavi Nandanam,"Jeedimetla, Hyderabad",Under Construction,1760 , 96.8 00000 ,"5,500 / sq ft"
3 BHK Apartment in Vasavi Nandanam,"Jeedimetla, Hyderabad",Under Construction,1560 , 85.8 00000 ,"5,500 / sq ft"
2 BHK Apartment in Vasavi Nandanam,"Jeedimetla, Hyderabad",Under Construction,1235 , 67.92 00000 ,"5,500 / sq ft"
3 BHK Apartment in Vasavi Nandanam,"Jeedimetla, Hyderabad",Under Construction,1665 , 91.57 00000 ,"5,500 / sq ft"
3 BHK Apartment in Aavasa Constructions Emerald,"Saroor Nagar, Hyderabad",Under Construction,2175 , 1.41 0000000 ,"6,500 / sq ft"
3 BHK Apartment in Aavasa Constructions Emerald,"Saroor Nagar, Hyderabad",Under Construction,1945 , 1.26 0000000 ,"6,500 / sq ft"
2 BHK Apartment in Aavasa Constructions Emerald,"Saroor Nagar, Hyderabad",Under Construction,1195 , 77.67 00000 ,"6,500 / sq ft"
3 BHK Apartment in Aavasa Constructions Emerald,"Saroor Nagar, Hyderabad",Under Construction,1685 , 1.09 0000000 ,"6,500 / sq ft"
3 BHK Apartment in Aavasa Constructions Emerald,"Saroor Nagar, Hyderabad",Under Construction,1755 , 1.14 0000000 ,"6,500 / sq ft"
3 BHK Apartment in Aavasa Constructions Emerald,"Saroor Nagar, Hyderabad",Under Construction,2530 , 1.64 0000000 ,"6,500 / sq ft"
3 BHK Apartment in Aavasa Constructions Emerald,"Saroor Nagar, Hyderabad",Under Construction,2465 , 1.6 0000000 ,"6,500 / sq ft"
3 BHK Apartment in Aavasa Constructions Emerald,"Saroor Nagar, Hyderabad",Under Construction,2065 , 1.34 0000000 ,"6,500 / sq ft"
2 BHK Apartment in Vasavi Metropolis,"Uppal Kalan, Hyderabad",Under Construction,1065 , 60.7 00000 ,"5,705 / sq ft"
3 BHK Apartment in Vasavi Metropolis,"Uppal Kalan, Hyderabad",Under Construction,1705 , 97.18 00000 ,"5,700 / sq ft"
3 BHK Apartment in Vasavi Metropolis,"Uppal Kalan, Hyderabad",Under Construction,1380 , 78.66 00000 ,"5,700 / sq ft"
2 BHK Apartment in Vasavi Metropolis,"Uppal Kalan, Hyderabad",Under Construction,1195 , 68.11 00000 ,"5,700 / sq ft"
3 BHK Apartment in Vasavi Metropolis,"Uppal Kalan, Hyderabad",Under Construction,1790 , 1.02 0000000 ,"5,700 / sq ft"
3 BHK Apartment in Vasavi Metropolis,"Uppal Kalan, Hyderabad",Under Construction,1630 , 92.91 00000 ,"5,700 / sq ft"
2 BHK Apartment in Srija Twin Towers,"Dammaiguda, Hyderabad",Under Construction,1052 , 50.49 00000 ,"4,800 / sq ft"
2 BHK Apartment in Srija Twin Towers,"Dammaiguda, Hyderabad",Under Construction,1247 , 59.85 00000 ,"4,800 / sq ft"
3 BHK Apartment in Srija Twin Towers,"Dammaiguda, Hyderabad",Under Construction,1458 , 69.98 00000 ,"4,800 / sq ft"
2 BHK Apartment in Srija Twin Towers,"Dammaiguda, Hyderabad",Under Construction,1200 , 57.6 00000 ,"4,800 / sq ft"
3 BHK Apartment in Aliens Space Station,"Tellapur, Hyderabad",Ready to move,2150 , 1.49 0000000 ,"6,975 / sq ft"
5 BHK Apartment in Aliens Space Station,"Tellapur, Hyderabad",Ready to move,4945 , 3.44 0000000 ,"6,975 / sq ft"
5 BHK Apartment in Aliens Space Station,"Tellapur, Hyderabad",Ready to move,5467 , 3.81 0000000 ,"6,975 / sq ft"
5 BHK Apartment in Aliens Space Station,"Tellapur, Hyderabad",Ready to move,5962 , 4.15 0000000 ,"6,975 / sq ft"
4 BHK Independent House in Aliens Space Station,"Tellapur, Hyderabad",Ready to move,3569 , 2.48 0000000 ,"6,975 / sq ft"
3 BHK Apartment in Aliens Space Station,"Tellapur, Hyderabad",Ready to move,1687 , 1.17 0000000 ,"6,975 / sq ft"
5 BHK Apartment in Aliens Space Station,"Tellapur, Hyderabad",Ready to move,5783 , 4.03 0000000 ,"6,975 / sq ft"
3 BHK Apartment in Aliens Space Station,"Tellapur, Hyderabad",Ready to move,2132 , 1.48 0000000 ,"6,975 / sq ft"
5 BHK Apartment in Aliens Space Station,"Tellapur, Hyderabad",Ready to move,6374 , 4.44 0000000 ,"6,975 / sq ft"
5 BHK Apartment in Aliens Space Station,"Tellapur, Hyderabad",Ready to move,6371 , 4.44 0000000 ,"6,975 / sq ft"
5 BHK Apartment in Aliens Space Station,"Tellapur, Hyderabad",Ready to move,7674 , 5.35 0000000 ,"6,975 / sq ft"
4 BHK Independent House in Aliens Space Station,"Tellapur, Hyderabad",Ready to move,5036 , 3.51 0000000 ,"6,975 / sq ft"
3 BHK Apartment in Aliens Space Station,"Tellapur, Hyderabad",Ready to move,1874 , 1.3 0000000 ,"6,975 / sq ft"
5 BHK Apartment in Aliens Space Station,"Tellapur, Hyderabad",Ready to move,5303 , 3.69 0000000 ,"6,975 / sq ft"
3 BHK Apartment in Aliens Space Station,"Tellapur, Hyderabad",Ready to move,2191 , 1.52 0000000 ,"6,975 / sq ft"
4 BHK Independent House in Aliens Space Station,"Tellapur, Hyderabad",Ready to move,3942 , 2.74 0000000 ,"6,975 / sq ft"
3 BHK Apartment in Aliens Space Station,"Tellapur, Hyderabad",Ready to move,1792 , 1.24 0000000 ,"6,975 / sq ft"
5 BHK Apartment in Aliens Space Station,"Tellapur, Hyderabad",Ready to move,6434 , 4.48 0000000 ,"6,975 / sq ft"
3 BHK Apartment in Aliens Space Station,"Tellapur, Hyderabad",Ready to move,2208 , 1.54 0000000 ,"6,975 / sq ft"
2 BHK Apartment in Cybercity Oriana,"Kukatpally, Hyderabad",Under Construction,1160 , 1.2 0000000 ,"10,344 / sq ft"
2 BHK Apartment in IRA Aspiration,"Kollur, Hyderabad",Under Construction,1295 , 64.72 00000 ,"4,998 / sq ft"
3 BHK Apartment in IRA Aspiration,"Kollur, Hyderabad",Under Construction,1595 , 79.71 00000 ,"4,998 / sq ft"
3 BHK Apartment in IRA Aspiration,"Kollur, Hyderabad",Under Construction,2195 , 1.09 0000000 ,"4,998 / sq ft"
3 BHK Apartment in IRA Aspiration,"Kollur, Hyderabad",Under Construction,1495 , 74.72 00000 ,"4,998 / sq ft"
3 BHK Apartment in IRA Aspiration,"Kollur, Hyderabad",Under Construction,1895 , 94.71 00000 ,"4,998 / sq ft"
3 BHK Apartment in IRA Miracle,"Kollur, Hyderabad",Under Construction,2155 , 1.14 0000000 ,"5,299 / sq ft"
3 BHK Apartment in IRA Miracle,"Kollur, Hyderabad",Under Construction,2455 , 1.3 0000000 ,"5,299 / sq ft"
3 BHK Apartment in IRA Miracle,"Kollur, Hyderabad",Under Construction,1855 , 98.29 00000 ,"5,299 / sq ft"
3 BHK Apartment in IRA Miracle,"Kollur, Hyderabad",Under Construction,1655 , 87.69 00000 ,"5,299 / sq ft"
Residential Plot in IRA Aerocity,"Shamshabad, Hyderabad",New,4567 , 2.28 0000000 ,"5,000 / sq ft"
Residential Plot in IRA Aerocity,"Shamshabad, Hyderabad",New,2286 , 1.14 0000000 ,"5,000 / sq ft"
Residential Plot in IRA Aerocity,"Shamshabad, Hyderabad",New,11392 , 5.69 0000000 ,"5,000 / sq ft"
Residential Plot in IRA Aerocity,"Shamshabad, Hyderabad",New,7384 , 3.69 0000000 ,"5,000 / sq ft"
Residential Plot in IRA Aerocity,"Shamshabad, Hyderabad",New,5405 , 2.7 0000000 ,"5,000 / sq ft"
Residential Plot in IRA Aerocity,"Shamshabad, Hyderabad",New,5520 , 2.75 0000000 ,"5,000 / sq ft"
Residential Plot in IRA Aerocity,"Shamshabad, Hyderabad",New,15348 , 7.67 0000000 ,"5,000 / sq ft"
Residential Plot in IRA Aerocity,"Shamshabad, Hyderabad",New,5282 , 2.64 0000000 ,"5,000 / sq ft"
Residential Plot in IRA Aerocity,"Shamshabad, Hyderabad",New,4446 , 2.22 0000000 ,"5,000 / sq ft"
Residential Plot in IRA Aerocity,"Shamshabad, Hyderabad",New,5271 , 2.63 0000000 ,"5,000 / sq ft"
Residential Plot in IRA Aerocity,"Shamshabad, Hyderabad",New,3668 , 1.83 0000000 ,"5,000 / sq ft"
Residential Plot in IRA Aerocity,"Shamshabad, Hyderabad",New,5043 , 2.52 0000000 ,"5,000 / sq ft"
Residential Plot in IRA Aerocity,"Shamshabad, Hyderabad",New,5758 , 2.87 0000000 ,"5,000 / sq ft"
Residential Plot in IRA Aerocity,"Shamshabad, Hyderabad",New,9613 , 4.8 0000000 ,"5,000 / sq ft"
Residential Plot in IRA Aerocity,"Shamshabad, Hyderabad",New,2403 , 1.2 0000000 ,"5,000 / sq ft"
Residential Plot in IRA Aerocity,"Shamshabad, Hyderabad",New,4805 , 2.4 0000000 ,"5,000 / sq ft"
Residential Plot in IRA Aerocity,"Shamshabad, Hyderabad",New,10542 , 5.27 0000000 ,"5,000 / sq ft"
Residential Plot in IRA Aerocity,"Shamshabad, Hyderabad",New,2485 , 1.24 0000000 ,"5,001 / sq ft"
Residential Plot in IRA Aerocity,"Shamshabad, Hyderabad",New,3576 , 1.78 0000000 ,"5,001 / sq ft"
3 BHK Apartment in Om Sree Brilliance,"Sainikpuri, Hyderabad",Under Construction,2140 , 1.3 0000000 ,"6,100 / sq ft"
2 BHK Apartment in Primark De Stature,"Kompally, Hyderabad",Under Construction,1170 , 54.97 00000 ,"4,699 / sq ft"
3 BHK Apartment in Om Sree Heights,"Yapral, Hyderabad",Under Construction,2780 , 1.69 0000000 ,"6,100 / sq ft"
2 BHK Apartment in Bhuvanteza Happy Homes II,"Shamirpet, Hyderabad",Under Construction,1200 , 31 00000 ,"2,583 / sq ft"
4 BHK Villa in Swaraj Homes Nectar Gardens,"Madhapur, Hyderabad",Ready to move,3650 , 7 0000000 ,"19,178 / sq ft"
2 BHK Apartment in Spectra Metro Heights,"Nagole, Hyderabad",Ready to move,1100 , 50 00000 ,"4,545 / sq ft"
10 BHK Independent House,"Meerpet, Hyderabad",Ready to move,6122 , 3.5 0000000 ,"5,717 / sq ft"
2 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad",Ready to move,1230 , 58 00000 ,"4,715 / sq ft"
3 BHK Independent House,"Bahadurpura, Hyderabad",Ready to move,981 , 85 00000 ,"8,664 / sq ft"
2 BHK Apartment,"LB Nagar, Hyderabad",Ready to move,1000 , 49 00000 ,"4,900 / sq ft"
1 BHK Apartment in Pacifica Hillcrest,"Nanakramguda, Hyderabad",Ready to move,1398 , 99 00000 ,"7,081 / sq ft"
3 BHK Apartment in Reputed Builder Indira Nivas,"Kukatpally, Hyderabad",Ready to move,1500 , 65 00000 ,"4,333 / sq ft"
2 BHK Apartment,"Bachupally, Hyderabad",Under Construction,1148 , 59.69 00000 ,"5,200 / sq ft"
4 BHK Apartment,"Upparpally, Hyderabad",Under Construction,2000 , 90 00000 ,"4,500 / sq ft"
4 BHK Villa,"Tukkuguda, Hyderabad",Under Construction,2600 , 1.69 0000000 ,"6,500 / sq ft"
4 BHK Villa,"Kardhanur, Hyderabad",Ready to move,3305 , 2.98 0000000 ,"9,016 / sq ft"
4 BHK Villa,"Tukkuguda, Hyderabad",Under Construction,2600 , 1.69 0000000 ,"6,500 / sq ft"
4 BHK Villa,"Mokila, Hyderabad",Under Construction,3770 , 2.1 0000000 ,"5,570 / sq ft"
2 BHK Apartment,"Medchal, Hyderabad",Under Construction,1390 , 45 00000 ,"3,237 / sq ft"
3 BHK Independent House,"Aminpur, Hyderabad",Under Construction,2400 , 1.45 0000000 ,"6,041 / sq ft"
2 BHK Independent House,"Malkajgiri, Hyderabad",Under Construction,720 , 44 00000 ,"6,111 / sq ft"
3 BHK Villa,"Ibrahimpatnam, Hyderabad",Under Construction,1700 , 64.5 00000 ,"3,794 / sq ft"
1 BHK Independent Floor,"Abids, Hyderabad",Ready to move,750 , 40 00000 ,"5,333 / sq ft"
2 BHK Apartment,"Medchal, Hyderabad",Under Construction,1390 , 45 00000 ,"3,237 / sq ft"
4 BHK Villa,"Kardhanur, Hyderabad",Ready to move,3305 , 2.98 0000000 ,"9,016 / sq ft"
2 BHK Apartment,"Alwal, Hyderabad",Under Construction,1285 , 66.82 00000 ,"5,200 / sq ft"
3 BHK Apartment in Srinivasa Emerald Greens,"Kompally, Hyderabad",Under Construction,3240 , 1.78 0000000 ,"5,500 / sq ft"
3 BHK Apartment in Srinivasa Emerald Greens,"Kompally, Hyderabad",Under Construction,2860 , 1.57 0000000 ,"5,500 / sq ft"
2 BHK Apartment,"Bachupally, Hyderabad",Under Construction,1225 , 46.55 00000 ,"3,800 / sq ft"
2 BHK Apartment,"Aminpur, Hyderabad",Ready to move,1230 , 62 00000 ,"5,040 / sq ft"
3 BHK Villa,"Ibrahimpatnam, Hyderabad",Under Construction,1700 , 64.5 00000 ,"3,794 / sq ft"
2 BHK Apartment,"Narsingi, Hyderabad",Under Construction,1200 , 66 00000 ,"5,500 / sq ft"
4 BHK Villa in PVR Urban Life,"Mokila, Hyderabad",Ready to move,3788 , 3.22 0000000 ,"8,500 / sq ft"
3 BHK Apartment,"Uppal, Hyderabad",Under Construction,1392 , 80 00000 ,"5,747 / sq ft"
1 BHK Independent Floor,"Abids, Hyderabad",Ready to move,750 , 40 00000 ,"5,333 / sq ft"
2 BHK Apartment,"Gajularamaram, Hyderabad",Ready to move,1110 , 55.48 00000 ,"4,999 / sq ft"
3 BHK Apartment,"Alwal, Hyderabad",Ready to move,1111 , 44.99 00000 ,"4,050 / sq ft"
2 BHK Independent House,"Badangpet, Hyderabad",Ready to move,1350 , 87 00000 ,"6,444 / sq ft"
5 BHK Villa in Keerthi Westwinds,"Kokapet, Hyderabad",Ready to move,8400 , 21.5 0000000 ,"25,595 / sq ft"
2 BHK Apartment in Anvita Ivana,"Kollur, Hyderabad",Under Construction,1260 , 60 00000 ,"4,761 / sq ft"
4 BHK Villa,"Kollur, Hyderabad",Under Construction,5300 , 1.3 0000000 ,"2,452 / sq ft"
2 BHK Apartment in Anvita Ivana,"Kollur, Hyderabad",Under Construction,1260 , 54 00000 ,"4,285 / sq ft"
3 BHK Apartment,"Serilingampally, Hyderabad",Ready to move,1586 , 95 00000 ,"5,989 / sq ft"
5 BHK Independent House,"Ramachandra Puram, Hyderabad",Ready to move,3200 , 4 0000000 ,"12,500 / sq ft"
2 BHK Apartment in Anvita Ivana,"Kollur, Hyderabad",Under Construction,1260 , 60 00000 ,"4,761 / sq ft"
2 BHK Apartment,"Hafeezpet, Hyderabad",Under Construction,1220 , 68.32 00000 ,"5,600 / sq ft"
2 BHK Independent House in Abhista Homes,"Patancheru, Hyderabad",Ready to move,1100 , 66 00000 ,"6,000 / sq ft"
