title,location,Status,size,price,pricepersqfeet
Residential Plot in G Square Olympia,"Shadnagar, Hyderabad",New,3600 , 69.8 00000 ,"1,939 / sq ft"
3 BHK Apartment in My Home Sayuk,"Tellapur, Hyderabad",Under Construction,1926 , 1.5 0000000 ,"7,788 / sq ft"
3 BHK Apartment in Hallmark Skyrena,"Narsingi, Hyderabad",Under Construction,2255 , 1.6 0000000 ,"7,099 / sq ft"
3 BHK Apartment in Shree GNR Vasavi Nirvana,"Attapur, Hyderabad",Under Construction,1745 , 1.2 0000000 ,"6,899 / sq ft"
3 BHK Apartment in Vajra The Royal Park,"Bowrampet, Hyderabad",Under Construction,1535 , 64.47 00000 ,"4,200 / sq ft"
3 BHK Apartment in Vaishnavi Houdini,"Bandlaguda Jagir, Hyderabad",Under Construction,1804 , 1.01 0000000 ,"5,600 / sq ft"
2 BHK Apartment in Sumadhura Gardens By The Brook,"Shamshabad, Hyderabad",Under Construction,1420 , 73.84 00000 ,"5,200 / sq ft"
3 BHK Apartment in Riddhi Pramukh Elegance,"Jeedimetla, Hyderabad",Under Construction,1510 , 87.58 00000 ,"5,800 / sq ft"
Residential Plot in Vasavi Green Leaf,"Shamirpet, Hyderabad",New,1800 , 46.99 00000 ,"2,611 / sq ft"
4 BHK Apartment in Theme Imperial,"Attapur, Hyderabad",Under Construction,2655 , 1.8 0000000 ,"6,800 / sq ft"
3 BHK Apartment in Signature Altius,"Kollur, Hyderabad",Under Construction,2425 , 1.21 0000000 ,"4,999 / sq ft"
3 BHK Apartment in Risinia Skyon,"Bachupally, Hyderabad",Under Construction,2223 , 1.24 0000000 ,"5,599 / sq ft"
3 BHK Apartment in Aavasa Constructions Emerald,"Saroor Nagar, Hyderabad",Under Construction,2345 , 1.52 0000000 ,"6,500 / sq ft"
2 BHK Apartment in Srija Twin Towers,"Dammaiguda, Hyderabad",Under Construction,1139 , 54.67 00000 ,"4,800 / sq ft"
2 BHK Apartment in Cybercity Oriana,"Kukatpally, Hyderabad",Under Construction,1450 , 1.35 0000000 ,"9,310 / sq ft"
3 BHK Apartment in Om Sree Brilliance,"Sainikpuri, Hyderabad",Under Construction,2195 , 1.33 0000000 ,"6,100 / sq ft"
3 BHK Apartment in Primark De Stature,"Kompally, Hyderabad",Under Construction,1515 , 71.18 00000 ,"4,699 / sq ft"
3 BHK Apartment in Srinivasa Emerald Greens,"Kompally, Hyderabad",Under Construction,2160 , 1.18 0000000 ,"5,500 / sq ft"
3 BHK Apartment in GSR Avasa EVK,"Kollur, Hyderabad",Under Construction,2000 , 69.98 00000 ,"3,499 / sq ft"
Residential Plot in Makuta Panchavati,"Vikarabad, Hyderabad",New,1800 , 28 00000 ,"1,556 / sq ft"
3 BHK Apartment in Engineers Sri Tirumala Millennium Phase III,"Mallapur, Hyderabad",Under Construction,2187 , 1.09 0000000 ,"4,999 / sq ft"
2 BHK Apartment in Beams 4 Blocks,"Kompally, Hyderabad",Under Construction,1245 , 65.97 00000 ,"5,299 / sq ft"
2 BHK Apartment in Jain Carlton Creek,"Manikonda, Hyderabad",Ready to move,1053 , 81.43 00000 ,"7,734 / sq ft"
3 BHK Apartment in Namishree BPS Twin Towers,"Saidabad, Hyderabad",Under Construction,1705 , 98.89 00000 ,"5,800 / sq ft"
5 BHK Villa in Nest Bliss In The Woods,"Harshaguda, Hyderabad",Under Construction,9000 , 9.3 0000000 ,"10,334 / sq ft"
3 BHK Apartment in Candeur Crescent,"Serilingampally, Hyderabad",Under Construction,2656 , 2.11 0000000 ,"7,944 / sq ft"
2 BHK Apartment in GHR Callisto,"Kollur, Hyderabad",Under Construction,1195 , 59.73 00000 ,"4,999 / sq ft"
3 BHK Apartment in Sunshine Vihaan,"Gandipet, Hyderabad",Under Construction,1643 , 1.03 0000000 ,"6,301 / sq ft"
3 BHK Apartment in Vazhraa Vazhraa Prathik,"Nizampet, Hyderabad",Under Construction,1870 , 1.21 0000000 ,"6,500 / sq ft"
3 BHK Apartment in Hivision Heights,"Kompally, Hyderabad",Under Construction,1908 , 1.14 0000000 ,"5,999 / sq ft"
4 BHK Villa in IRA Elevate Villas,"Mamidipally, Hyderabad",Under Construction,6105 , 7.32 0000000 ,"12,000 / sq ft"
3 BHK Apartment in Merlion Galaxia,"Nizampet, Hyderabad",Under Construction,1745 , 97.7 00000 ,"5,599 / sq ft"
Residential Plot in Haripriya Dukes County Phase II,"Sheriguda, Hyderabad",New,3150 , 1.39 0000000 ,"4,444 / sq ft"
Residential Plot in G Square Olympia,"Shadnagar, Hyderabad",New,1620 , 31.41 00000 ,"1,939 / sq ft"
2 BHK Apartment in My Home Sayuk,"Tellapur, Hyderabad",Under Construction,1573 , 1.3 0000000 ,"8,264 / sq ft"
3 BHK Apartment in Hallmark Skyrena,"Narsingi, Hyderabad",Under Construction,1635 , 1.16 0000000 ,"7,099 / sq ft"
3 BHK Apartment in Shree GNR Vasavi Nirvana,"Attapur, Hyderabad",Under Construction,2440 , 1.68 0000000 ,"6,899 / sq ft"
2 BHK Apartment in Vajra The Royal Park,"Bowrampet, Hyderabad",Under Construction,1275 , 53.55 00000 ,"4,200 / sq ft"
2 BHK Apartment in Vaishnavi Houdini,"Bandlaguda Jagir, Hyderabad",Under Construction,1437 , 80.47 00000 ,"5,600 / sq ft"
3 BHK Apartment in Sumadhura Gardens By The Brook,"Shamshabad, Hyderabad",Under Construction,1680 , 87.36 00000 ,"5,200 / sq ft"
3 BHK Apartment in Riddhi Pramukh Elegance,"Jeedimetla, Hyderabad",Under Construction,1975 , 1.14 0000000 ,"5,800 / sq ft"
Residential Plot in Vasavi Green Leaf,"Shamirpet, Hyderabad",New,1440 , 37.59 00000 ,"2,611 / sq ft"
3 BHK Apartment in Theme Imperial,"Attapur, Hyderabad",Under Construction,2170 , 1.47 0000000 ,"6,800 / sq ft"
